model,n_per_class,seed,n_train_rows,n_test_rows,overall_accuracy,balanced_accuracy,box_accuracy,can_accuracy,mug_accuracy,bottle_accuracy,bowl_accuracy
knn,2,2054,10,257,0.5408560311284046,0.3992779005459805,0.5566037735849056,0.9545454545454546,0.05263157894736842,0.2826086956521739,0.15
svm_linear,2,2054,10,257,0.5486381322957199,0.48680585048272107,0.5471698113207547,0.9696969696969697,0.47368421052631576,0.043478260869565216,0.4
svm_rbf,2,2054,10,257,0.5836575875486382,0.4587455270288482,0.6792452830188679,0.9848484848484849,0.15789473684210525,0.021739130434782608,0.45
knn,2,2055,10,305,0.6918032786885245,0.5392024431264937,0.6713286713286714,0.9746835443037974,0.05,0.7619047619047619,0.23809523809523808
svm_linear,2,2055,10,305,0.5901639344262295,0.48444804141006675,0.4825174825174825,0.9873417721518988,0.0,0.6190476190476191,0.3333333333333333
svm_rbf,2,2055,10,305,0.5409836065573771,0.488947718947719,0.35664335664335667,1.0,0.35,0.5952380952380952,0.14285714285714285
knn,2,2056,10,309,0.5307443365695793,0.5207792207792208,0.2727272727272727,1.0,0.09090909090909091,0.7857142857142857,0.45454545454545453
svm_linear,2,2056,10,309,0.46601941747572817,0.5225174825174825,0.13986013986013987,1.0,0.3181818181818182,0.7,0.45454545454545453
svm_rbf,2,2056,10,309,0.45307443365695793,0.47050061050061043,0.2097902097902098,0.7777777777777778,0.2727272727272727,0.7285714285714285,0.36363636363636365
knn,2,2057,10,309,0.517799352750809,0.43274492827433997,0.2647058823529412,0.9733333333333334,0.05555555555555555,0.7272727272727273,0.14285714285714285
svm_linear,2,2057,10,309,0.5339805825242718,0.5133753501400561,0.25735294117647056,1.0,0.5,0.6666666666666666,0.14285714285714285
svm_rbf,2,2057,10,309,0.4110032362459547,0.4768178422884305,0.11029411764705882,0.68,0.6111111111111112,0.696969696969697,0.2857142857142857
knn,2,2058,10,391,0.7544757033248082,0.5192944431945449,0.49295774647887325,0.9948453608247423,0.2222222222222222,0.7435897435897436,0.14285714285714285
svm_linear,2,2058,10,391,0.6138107416879796,0.5905330298825289,0.07042253521126761,0.9896907216494846,0.8888888888888888,0.717948717948718,0.2857142857142857
svm_rbf,2,2058,10,391,0.5601023017902813,0.5502794367757341,0.04225352112676056,0.9020618556701031,0.7777777777777778,0.7435897435897436,0.2857142857142857
knn,2,2059,10,271,0.4870848708487085,0.38590589312111767,0.2975206611570248,0.9156626506024096,0.0,0.5625,0.15384615384615385
svm_linear,2,2059,10,271,0.6088560885608856,0.5214944009987822,0.4793388429752066,0.9397590361445783,0.3181818181818182,0.5625,0.3076923076923077
svm_rbf,2,2059,10,271,0.44280442804428044,0.4069096155760997,0.30578512396694213,0.7108433734939759,0.2727272727272727,0.4375,0.3076923076923077
knn,2,2060,10,391,0.5294117647058824,0.4934523809523809,0.19642857142857142,0.9375,0.0,0.7333333333333333,0.6
svm_linear,2,2060,10,391,0.6061381074168798,0.5452380952380952,0.30952380952380953,1.0,0.4166666666666667,0.6,0.4
svm_rbf,2,2060,10,391,0.5882352941176471,0.5077380952380952,0.30952380952380953,0.9791666666666666,0.25,0.6,0.4
knn,2,2061,10,254,0.5236220472440944,0.43321404237239636,0.38461538461538464,0.9178082191780822,0.1111111111111111,0.5172413793103449,0.23529411764705882
svm_linear,2,2061,10,254,0.6692913385826772,0.5761314770206376,0.6068376068376068,0.9726027397260274,0.5,0.4482758620689655,0.35294117647058826
svm_rbf,2,2061,10,254,0.5905511811023622,0.5188285214404307,0.5641025641025641,0.7945205479452054,0.4444444444444444,0.3793103448275862,0.4117647058823529
